iter	Logloss
0	0.6911758184
1	0.688364923
2	0.6863504648
3	0.6845528483
4	0.6822847128
5	0.6802760363
6	0.6778587103
7	0.6757814884
8	0.6736457348
9	0.6706299782
10	0.6688064337
11	0.6666050553
12	0.6648318768
13	0.6627595425
14	0.6602227688
15	0.6579744816
16	0.6558214426
17	0.6531893611
18	0.6517043114
19	0.6494753361
20	0.647515893
21	0.6452156305
22	0.6431251764
23	0.6410599947
24	0.6382594109
25	0.6364136934
26	0.6341284513
27	0.6323242188
28	0.6302651167
29	0.6282553673
30	0.6264619827
31	0.624237299
32	0.6225712299
33	0.6202341318
34	0.618388176
35	0.6162090302
36	0.6143234968
37	0.6123369336
38	0.6106323004
39	0.6087006927
40	0.6065300107
41	0.6045787334
42	0.6024877429
43	0.6008019447
44	0.5996896029
45	0.5966589451
46	0.594697237
47	0.5933160782
48	0.5909513235
49	0.5891524553
50	0.5875521898
51	0.5858679414
52	0.5843154192
53	0.5822652578
54	0.5807875991
55	0.5789164901
56	0.5776131153
57	0.5759849548
58	0.5744957924
59	0.5725980401
60	0.5712394714
61	0.5696514249
62	0.5683579445
63	0.5668020844
64	0.5653730035
65	0.5644027591
66	0.5627012253
67	0.5605679154
68	0.5587425232
69	0.5572912097
70	0.5557509661
71	0.5541597605
72	0.552927494
73	0.5511215925
74	0.5492768288
75	0.5478339195
76	0.5458656549
77	0.5443155766
78	0.5430475473
79	0.5411450267
80	0.5397766829
81	0.537853241
82	0.5360354185
83	0.5345811248
84	0.5329766273
85	0.5317376852
86	0.5298073888
87	0.5285964608
88	0.5270596743
89	0.525554657
90	0.5241704583
91	0.5228296518
92	0.5215169191
93	0.5197076201
94	0.5176412463
95	0.5162611008
96	0.5151791573
97	0.5134453773
98	0.5119091272
99	0.5106588006
100	0.5094621181
101	0.5083585382
102	0.5065121651
103	0.5047335625
104	0.5033513308
105	0.5016406775
106	0.5002981424
107	0.4988174438
108	0.4975056946
109	0.4963152111
110	0.4950585663
111	0.4936265945
112	0.4922963977
113	0.4908750653
114	0.4896193743
115	0.488063395
116	0.4863048792
117	0.4850429893
118	0.484066844
119	0.4830802381
120	0.4818280935
121	0.480673939
122	0.479429543
123	0.4781802595
124	0.4765641391
125	0.4751389921
126	0.47349298
127	0.4722775817
128	0.4713076949
129	0.4702219367
130	0.4691622555
131	0.4671473503
132	0.466040045
133	0.4648558497
134	0.4639243484
135	0.4628634155
136	0.4614257216
137	0.4602288008
138	0.4592669308
139	0.4579536617
140	0.4564097226
141	0.4547149539
142	0.4534902573
143	0.4524065256
144	0.4509937465
145	0.4496111274
146	0.4486798048
147	0.4475410283
148	0.4467491508
149	0.4455513954
150	0.4448238015
151	0.4433256388
152	0.4422294497
153	0.4411661327
154	0.4392041862
155	0.4377553761
156	0.4365763366
157	0.4352952242
158	0.4340619445
159	0.4328763783
160	0.4314571023
161	0.4302244782
162	0.4290604591
163	0.4282104373
164	0.4271804392
165	0.4257644713
166	0.4248194098
167	0.4240622818
168	0.4231387079
169	0.4220392108
170	0.4204900265
171	0.4190983772
172	0.418187052
173	0.4170446098
174	0.4160456955
175	0.4149261713
176	0.4139614701
177	0.4125708044
178	0.4115115404
179	0.410769999
180	0.4096803069
181	0.4084505737
182	0.4073517323
183	0.406354934
184	0.4053581059
185	0.4043987393
186	0.4032652974
187	0.4021533132
188	0.4012517631
189	0.4005103707
190	0.3998175263
191	0.3990348876
192	0.3978998065
193	0.3969038725
194	0.3955961466
195	0.394767344
196	0.3936936557
197	0.3927716613
198	0.3919540942
199	0.3909848332
200	0.389973402
201	0.3891251981
202	0.3884309828
203	0.3877271414
204	0.386978507
205	0.3860014677
206	0.3853083849
207	0.3843915462
208	0.383459568
209	0.3824588656
210	0.3814390004
211	0.3806359172
212	0.3798600435
213	0.3785297275
214	0.3776746094
215	0.3761975765
216	0.375195384
217	0.3743071556
218	0.3734590411
219	0.3727037907
220	0.3716694415
221	0.370778203
222	0.3699158728
223	0.3689473867
224	0.368296206
225	0.3674895763
226	0.3658488393
227	0.3649528623
228	0.3641372025
229	0.3630062938
230	0.3623832464
231	0.3616119325
232	0.3608064055
233	0.3601159453
234	0.3592683375
235	0.358220607
236	0.3574666679
237	0.3567860723
238	0.3560986221
239	0.3555051088
240	0.3546713591
241	0.3536793292
242	0.3529245257
243	0.3521104157
244	0.3511786461
245	0.3504104018
246	0.3495054245
247	0.3486470878
248	0.3479794264
249	0.347007513
250	0.3463542461
251	0.3456981778
252	0.3447024822
253	0.3438286185
254	0.3426644802
255	0.3417292833
256	0.3410522044
257	0.3401833773
258	0.3392680287
259	0.3387022018
260	0.3377897739
261	0.3369018734
262	0.3358854651
263	0.3350862265
264	0.3344032168
265	0.3338193595
266	0.3331928253
267	0.3321399689
268	0.3315135837
269	0.3306145072
270	0.3299199641
271	0.3291835189
272	0.3281297088
273	0.3275423348
274	0.3267204165
275	0.3257241547
276	0.3248338103
277	0.3240250349
278	0.3232490122
279	0.3226519525
280	0.321804136
281	0.3213697076
282	0.3204346895
283	0.3196163476
284	0.319073081
285	0.3182448149
286	0.3176345825
287	0.3167598248
288	0.3160836995
289	0.3153705597
290	0.314827621
291	0.3139355183
292	0.3133417368
293	0.3126564026
294	0.3118832111
295	0.311057359
296	0.3103703856
297	0.3097328842
298	0.3086802959
299	0.3078974485
300	0.3072445095
301	0.3064289093
302	0.3057653904
303	0.305182457
304	0.3045575023
305	0.3039489985
306	0.3032198548
307	0.302572757
308	0.3016158938
309	0.3009766638
310	0.3004159927
311	0.2998875976
312	0.2989169359
313	0.2982385457
314	0.2974253893
315	0.2967993617
316	0.2962723374
317	0.2955294251
318	0.2949528694
319	0.2944745123
320	0.293607235
321	0.2929219007
322	0.292407006
323	0.2918717265
324	0.291213572
325	0.2903985381
326	0.2896503806
327	0.2890078425
328	0.2883378267
329	0.2876088321
330	0.2868679166
331	0.2860724628
332	0.2850003839
333	0.2844494879
334	0.283703208
335	0.2830707431
336	0.2826097012
337	0.2820704281
338	0.2815092206
339	0.2808788419
340	0.2802870274
341	0.2797996402
342	0.2793961465
343	0.2787635922
344	0.2780787349
345	0.2776443362
346	0.2770521045
347	0.2759913206
348	0.2755767703
349	0.2747765779
350	0.2741760612
351	0.2735526264
352	0.2730506361
353	0.2726152539
354	0.2721215189
355	0.2714447379
356	0.2708181143
357	0.2702536285
358	0.2698094249
359	0.2693288624
360	0.2685803175
361	0.2681375742
362	0.2676404715
363	0.2670552731
364	0.2663187385
365	0.2656975091
366	0.2651010156
367	0.2643054724
368	0.2638691068
369	0.2635591328
370	0.2630468309
371	0.262475729
372	0.2618398666
373	0.2613158226
374	0.2604713142
375	0.2599384785
376	0.2593854666
377	0.2588466406
378	0.2580991387
379	0.2575434446
380	0.257006824
381	0.2564045489
382	0.2560158074
383	0.2556561232
384	0.2552061081
385	0.2547864914
386	0.2542605102
387	0.2536598444
388	0.2531563938
389	0.2527214885
390	0.2521720231
391	0.251850009
392	0.251183331
393	0.2506208122
394	0.2501155436
395	0.24957183
396	0.2491014749
397	0.2485164106
398	0.2480443865
399	0.2474540323
400	0.2469152659
401	0.2464691699
402	0.2461017668
403	0.2454973459
404	0.2450473905
405	0.2447393835
406	0.2441939563
407	0.243566364
408	0.2430858016
409	0.2424819767
410	0.2419837862
411	0.241416052
412	0.240789637
413	0.2402309328
414	0.2399014235
415	0.2395004332
416	0.2389054447
417	0.2382713854
418	0.2377758324
419	0.2374337763
420	0.2367894053
421	0.2362829
422	0.2357626855
423	0.2352575362
424	0.2348528802
425	0.2343593538
426	0.2338280082
427	0.2333412468
428	0.232786119
429	0.2322232127
430	0.231908381
431	0.2316442877
432	0.2310828865
433	0.2307001352
434	0.2302399576
435	0.2297994494
436	0.2294526398
437	0.22910209
438	0.2288041711
439	0.2284903228
440	0.2278149873
441	0.2273158431
442	0.226881355
443	0.2265039533
444	0.2260533869
445	0.2257766426
446	0.2253100872
447	0.2248300463
448	0.2244913727
449	0.2240938991
450	0.2237172723
451	0.2233720422
452	0.2229623199
453	0.2225251794
454	0.221931994
455	0.221519053
456	0.2211834788
457	0.2206629366
458	0.2203176767
459	0.2198980451
460	0.2194095254
461	0.2189903259
462	0.2184877396
463	0.2180870771
464	0.2176036686
465	0.2170975804
466	0.2167002559
467	0.216184929
468	0.215779826
469	0.2153775692
470	0.2150657773
471	0.214800477
472	0.2143547982
473	0.2139877528
474	0.2136386931
475	0.2132782638
476	0.2127911597
477	0.2123452723
478	0.2119276971
479	0.21144256
480	0.211001724
481	0.2106969208
482	0.210164994
483	0.2097115815
484	0.2093455195
485	0.2089461535
486	0.2085246742
487	0.2079874873
488	0.2076032758
489	0.2070795596
490	0.2067761719
491	0.2065543383
492	0.2062322646
493	0.2059126198
494	0.2055552453
495	0.2052609473
496	0.2049202323
497	0.2045721859
498	0.2043279558
499	0.2040066719
500	0.2037095577
501	0.2033775449
502	0.2030631602
503	0.2027932405
504	0.2023510039
505	0.2018713057
506	0.2013832629
507	0.2009113729
508	0.2005755305
509	0.2002393305
510	0.1997101307
511	0.1993824393
512	0.199129343
513	0.1988280863
514	0.1982831061
515	0.1980084479
516	0.1974327862
517	0.1972350478
518	0.1966671944
519	0.1962785721
520	0.195827812
521	0.1953037977
522	0.1949955523
523	0.1946102828
524	0.1942696571
525	0.1939895153
526	0.1933651417
527	0.1930347383
528	0.192805931
529	0.1923088282
530	0.1919518262
531	0.1916269213
532	0.1912824661
533	0.1909411848
534	0.190635711
535	0.1903637052
536	0.189994365
537	0.1895634532
538	0.189141646
539	0.1885116994
540	0.1882211417
541	0.1878806651
542	0.1873583794
543	0.1870549172
544	0.1865677536
545	0.1861473918
546	0.1857255399
547	0.1853836775
548	0.185085088
549	0.1848531961
550	0.1845358759
551	0.1841744781
552	0.1837720126
553	0.1835010201
